Sequence	Index	reverse_index	GC Skew (0kb)
crass_B1_assembly	13700	82700	-0.28571429
crass_B1_assembly	13800	82600	-0.25925926
crass_B1_assembly	13900	82500	-0.2
crass_B1_assembly	14000	82400	-0.11764706
crass_B1_assembly	14100	82300	-0.23076923
crass_B1_assembly	14200	82200	-0.03703704
crass_B1_assembly	14300	82100	-0.33333333
crass_B1_assembly	14400	82000	-0.33333333
crass_B1_assembly	14500	81900	-0.3125
crass_B1_assembly	14600	81800	-0.31034483
crass_B1_assembly	14700	81700	-0.28
crass_B1_assembly	14800	81600	0.04
crass_B1_assembly	14900	81500	-0.33333333
crass_B1_assembly	15000	81400	-0.08333333
crass_B1_assembly	15100	81300	0
crass_B1_assembly	15200	81200	-0.5
crass_B1_assembly	15300	81100	0.05263158
crass_B1_assembly	15400	81000	-0.11111111
crass_B1_assembly	15500	80900	-0.04347826
crass_B1_assembly	15600	80800	-0.13043478
crass_B1_assembly	15700	80700	-0.66666667
crass_B1_assembly	15800	80600	-0.22222222
crass_B1_assembly	15900	80500	-0.54285714
crass_B1_assembly	16000	80400	0.04
crass_B1_assembly	16100	80300	-0.14285714
crass_B1_assembly	16200	80200	-0.3125
crass_B1_assembly	16300	80100	-0.46153846
crass_B1_assembly	16400	80000	-0.14285714
crass_B1_assembly	16500	79900	-0.56521739
crass_B1_assembly	16600	79800	0.03225806
crass_B1_assembly	16700	79700	-0.27777778
crass_B1_assembly	16800	79600	-0.35714286
crass_B1_assembly	16900	79500	0.03030303
crass_B1_assembly	17000	79400	0.17647059
crass_B1_assembly	17100	79300	-0.41935484
crass_B1_assembly	17200	79200	-0.13513514
crass_B1_assembly	17300	79100	-0.25925926
crass_B1_assembly	17400	79000	-0.125
crass_B1_assembly	17500	78900	-0.53333333
crass_B1_assembly	17600	78800	-0.3125
crass_B1_assembly	17700	78700	0.03225806
crass_B1_assembly	17800	78600	0.03030303
crass_B1_assembly	17900	78500	-0.17241379
crass_B1_assembly	18000	78400	-0.30769231
crass_B1_assembly	18100	78300	-0.28571429
crass_B1_assembly	18200	78200	-0.27777778
crass_B1_assembly	18300	78100	-0.1875
crass_B1_assembly	18400	78000	-0.03448276
crass_B1_assembly	18500	77900	-0.2
crass_B1_assembly	18600	77800	-0.03448276
crass_B1_assembly	18700	77700	-0.39130435
crass_B1_assembly	18800	77600	-0.13043478
crass_B1_assembly	18900	77500	-0.09677419
crass_B1_assembly	19000	77400	-0.33333333
crass_B1_assembly	19100	77300	0
crass_B1_assembly	19200	77200	-0.23076923
crass_B1_assembly	19300	77100	-0.1875
crass_B1_assembly	19400	77000	-0.26666667
crass_B1_assembly	19500	76900	-0.15384615
crass_B1_assembly	19600	76800	-0.14285714
crass_B1_assembly	19700	76700	-0.16129032
crass_B1_assembly	19800	76600	-0.6
crass_B1_assembly	19900	76500	-0.26666667
crass_B1_assembly	20000	76400	-0.17948718
crass_B1_assembly	20100	76300	-0.48148148
crass_B1_assembly	20200	76200	-0.1
crass_B1_assembly	20300	76100	0
crass_B1_assembly	20400	76000	0.24324324
crass_B1_assembly	20500	75900	-0.30769231
crass_B1_assembly	20600	75800	-0.16129032
crass_B1_assembly	20700	75700	-0.23076923
crass_B1_assembly	20800	75600	-0.18518519
crass_B1_assembly	20900	75500	-0.18181818
crass_B1_assembly	21000	75400	-0.09090909
crass_B1_assembly	21100	75300	-0.21428571
crass_B1_assembly	21200	75200	0.08333333
crass_B1_assembly	21300	75100	0.10344828
crass_B1_assembly	21400	75000	-0.14285714
crass_B1_assembly	21500	74900	0
crass_B1_assembly	21600	74800	0.06666667
crass_B1_assembly	21700	74700	-0.6
crass_B1_assembly	21800	74600	-0.21428571
crass_B1_assembly	21900	74500	-0.10344828
crass_B1_assembly	22000	74400	-0.10344828
crass_B1_assembly	22100	74300	-0.14285714
crass_B1_assembly	22200	74200	-0.29411765
crass_B1_assembly	22300	74100	-0.11764706
crass_B1_assembly	22400	74000	-0.3
crass_B1_assembly	22500	73900	-0.07692308
crass_B1_assembly	22600	73800	-0.05263158
crass_B1_assembly	22700	73700	-0.33333333
crass_B1_assembly	22800	73600	-0.14285714
crass_B1_assembly	22900	73500	-0.38461538
crass_B1_assembly	23000	73400	-0.2
crass_B1_assembly	23100	73300	-0.21428571
crass_B1_assembly	23200	73200	0.16666667
crass_B1_assembly	23300	73100	-0.1875
crass_B1_assembly	23400	73000	-0.11111111
crass_B1_assembly	23500	72900	-0.03448276
crass_B1_assembly	23600	72800	-0.0952381
crass_B1_assembly	23700	72700	-0.33333333
crass_B1_assembly	23800	72600	-0.1
crass_B1_assembly	23900	72500	-0.40740741
crass_B1_assembly	24000	72400	-0.12
crass_B1_assembly	24100	72300	-0.16666667
crass_B1_assembly	24200	72200	-0.38461538
crass_B1_assembly	24300	72100	0.03448276
crass_B1_assembly	24400	72000	-0.37931034
crass_B1_assembly	24500	71900	-0.51724138
crass_B1_assembly	24600	71800	0.07692308
crass_B1_assembly	24700	71700	-0.03703704
crass_B1_assembly	24800	71600	-0.37931034
crass_B1_assembly	24900	71500	-0.31034483
crass_B1_assembly	25000	71400	-0.28571429
crass_B1_assembly	25100	71300	-0.28571429
crass_B1_assembly	25200	71200	0.2
crass_B1_assembly	25300	71100	-0.36842105
crass_B1_assembly	25400	71000	-0.41935484
crass_B1_assembly	25500	70900	-0.15151515
crass_B1_assembly	25600	70800	-0.13333333
crass_B1_assembly	25700	70700	-0.16129032
crass_B1_assembly	25800	70600	0.10638298
crass_B1_assembly	25900	70500	0
crass_B1_assembly	26000	70400	-0.27272727
crass_B1_assembly	26100	70300	-0.2173913
crass_B1_assembly	26200	70200	-0.1
crass_B1_assembly	26300	70100	-0.2173913
crass_B1_assembly	26400	70000	0.14285714
crass_B1_assembly	26500	69900	-0.2
crass_B1_assembly	26600	69800	0.07142857
crass_B1_assembly	26700	69700	-0.39130435
crass_B1_assembly	26800	69600	-0.2173913
crass_B1_assembly	26900	69500	-0.21428571
crass_B1_assembly	27000	69400	-0.03448276
crass_B1_assembly	27100	69300	-0.44827586
crass_B1_assembly	27200	69200	-0.17647059
crass_B1_assembly	27300	69100	-0.57575758
crass_B1_assembly	27400	69000	0.04
crass_B1_assembly	27500	68900	-0.29032258
crass_B1_assembly	27600	68800	-0.36
crass_B1_assembly	27700	68700	0.07692308
crass_B1_assembly	27800	68600	-0.1875
crass_B1_assembly	27900	68500	-0.21052632
crass_B1_assembly	28000	68400	-0.24137931
crass_B1_assembly	28100	68300	-0.29032258
crass_B1_assembly	28200	68200	-0.33333333
crass_B1_assembly	28300	68100	-0.11764706
crass_B1_assembly	28400	68000	0.21052632
crass_B1_assembly	28500	67900	-0.04
crass_B1_assembly	28600	67800	-0.23529412
crass_B1_assembly	28700	67700	-0.30434783
crass_B1_assembly	28800	67600	-0.125
crass_B1_assembly	28900	67500	-0.25
crass_B1_assembly	29000	67400	-0.11111111
crass_B1_assembly	29100	67300	-0.16129032
crass_B1_assembly	29200	67200	0.03030303
crass_B1_assembly	29300	67100	-0.18518519
crass_B1_assembly	29400	67000	-0.17647059
crass_B1_assembly	29500	66900	-0.18518519
crass_B1_assembly	29600	66800	-0.53333333
crass_B1_assembly	29700	66700	-0.16666667
crass_B1_assembly	29800	66600	-0.33333333
crass_B1_assembly	29900	66500	0.10344828
crass_B1_assembly	30000	66400	-0.03030303
crass_B1_assembly	30100	66300	-0.125
crass_B1_assembly	30200	66200	0.26666667
crass_B1_assembly	30300	66100	-0.16129032
crass_B1_assembly	30400	66000	-0.2
crass_B1_assembly	30500	65900	-0.15
crass_B1_assembly	30600	65800	-0.42857143
crass_B1_assembly	30700	65700	-0.1875
crass_B1_assembly	30800	65600	-0.16129032
crass_B1_assembly	30900	65500	0.10526316
crass_B1_assembly	31000	65400	0.31034483
crass_B1_assembly	31100	65300	-0.40540541
crass_B1_assembly	31200	65200	-0.45454545
crass_B1_assembly	31300	65100	-0.13333333
crass_B1_assembly	31400	65000	-0.125
crass_B1_assembly	31500	64900	-0.11111111
crass_B1_assembly	31600	64800	-0.18918919
crass_B1_assembly	31700	64700	-0.11111111
crass_B1_assembly	31800	64600	0.51515152
crass_B1_assembly	31900	64500	-0.02857143
crass_B1_assembly	32000	64400	-0.26829268
crass_B1_assembly	32100	64300	-0.41666667
crass_B1_assembly	32200	64200	-0.06666667
crass_B1_assembly	32300	64100	-0.2
crass_B1_assembly	32400	64000	-0.33333333
crass_B1_assembly	32500	63900	-0.11111111
crass_B1_assembly	32600	63800	-0.45454545
crass_B1_assembly	32700	63700	-0.45454545
crass_B1_assembly	32800	63600	-0.18518519
crass_B1_assembly	32900	63500	-0.4
crass_B1_assembly	33000	63400	-0.11764706
crass_B1_assembly	33100	63300	-0.625
crass_B1_assembly	33200	63200	-0.29411765
crass_B1_assembly	33300	63100	0.14285714
crass_B1_assembly	33400	63000	-0.36363636
crass_B1_assembly	33500	62900	-0.2
crass_B1_assembly	33600	62800	0.23809524
crass_B1_assembly	33700	62700	-0.08108108
crass_B1_assembly	33800	62600	0
crass_B1_assembly	33900	62500	-0.28205128
crass_B1_assembly	34000	62400	-0.2
crass_B1_assembly	34100	62300	0.08571429
crass_B1_assembly	34200	62200	-0.23809524
crass_B1_assembly	34300	62100	-0.2
crass_B1_assembly	34400	62000	-0.05555556
crass_B1_assembly	34500	61900	-0.25
crass_B1_assembly	34600	61800	-0.30769231
crass_B1_assembly	34700	61700	0.04347826
crass_B1_assembly	34800	61600	-0.25
crass_B1_assembly	34900	61500	-0.29411765
crass_B1_assembly	35000	61400	-0.37931034
crass_B1_assembly	35100	61300	0.28571429
crass_B1_assembly	35200	61200	-0.15789474
crass_B1_assembly	35300	61100	-0.05882353
crass_B1_assembly	35400	61000	-0.47826087
crass_B1_assembly	35500	60900	-0.41935484
crass_B1_assembly	35600	60800	-0.2
crass_B1_assembly	35700	60700	-0.33333333
crass_B1_assembly	35800	60600	0
crass_B1_assembly	35900	60500	-0.31034483
crass_B1_assembly	36000	60400	-0.12
crass_B1_assembly	36100	60300	-0.46153846
crass_B1_assembly	36200	60200	-0.07142857
crass_B1_assembly	36300	60100	-0.37142857
crass_B1_assembly	36400	60000	-0.25
crass_B1_assembly	36500	59900	-0.54545455
crass_B1_assembly	36600	59800	-0.4375
crass_B1_assembly	36700	59700	-0.44
crass_B1_assembly	36800	59600	-0.33333333
crass_B1_assembly	36900	59500	-0.57142857
crass_B1_assembly	37000	59400	-0.3
crass_B1_assembly	37100	59300	0.25925926
crass_B1_assembly	37200	59200	-0.16666667
crass_B1_assembly	37300	59100	-0.27272727
crass_B1_assembly	37400	59000	-0.36
crass_B1_assembly	37500	58900	-0.25925926
crass_B1_assembly	37600	58800	-0.04
crass_B1_assembly	37700	58700	-0.33333333
crass_B1_assembly	37800	58600	0.04761905
crass_B1_assembly	37900	58500	-0.125
crass_B1_assembly	38000	58400	-0.2173913
crass_B1_assembly	38100	58300	-0.3
crass_B1_assembly	38200	58200	-0.30434783
crass_B1_assembly	38300	58100	-0.31034483
crass_B1_assembly	38400	58000	-0.2173913
crass_B1_assembly	38500	57900	-0.4
crass_B1_assembly	38600	57800	0.06666667
crass_B1_assembly	38700	57700	-0.47826087
crass_B1_assembly	38800	57600	-0.14285714
crass_B1_assembly	38900	57500	-0.6
crass_B1_assembly	39000	57400	0.11111111
crass_B1_assembly	39100	57300	-0.46666667
crass_B1_assembly	39200	57200	-0.09677419
crass_B1_assembly	39300	57100	-0.15384615
crass_B1_assembly	39400	57000	-0.02857143
crass_B1_assembly	39500	56900	-0.27272727
crass_B1_assembly	39600	56800	-0.09803922
crass_B1_assembly	39700	56700	-0.48387097
crass_B1_assembly	39800	56600	-0.21212121
crass_B1_assembly	39900	56500	-0.2
crass_B1_assembly	40000	56400	-0.03448276
crass_B1_assembly	40100	56300	-0.39130435
crass_B1_assembly	40200	56200	-0.2
crass_B1_assembly	40300	56100	-0.28571429
crass_B1_assembly	40400	56000	-0.24137931
crass_B1_assembly	40500	55900	-0.24137931
crass_B1_assembly	40600	55800	0.03225806
crass_B1_assembly	40700	55700	-0.52941176
crass_B1_assembly	40800	55600	-0.2
crass_B1_assembly	40900	55500	-0.09090909
crass_B1_assembly	41000	55400	-0.17241379
crass_B1_assembly	41100	55300	0.03703704
crass_B1_assembly	41200	55200	-0.25
crass_B1_assembly	41300	55100	0.17647059
crass_B1_assembly	41400	55000	0.05555556
crass_B1_assembly	41500	54900	0.03448276
crass_B1_assembly	41600	54800	-0.125
crass_B1_assembly	41700	54700	-0.16666667
crass_B1_assembly	41800	54600	-0.22222222
crass_B1_assembly	41900	54500	0.22222222
crass_B1_assembly	42000	54400	-0.29032258
crass_B1_assembly	42100	54300	-0.11111111
crass_B1_assembly	42200	54200	-0.35483871
crass_B1_assembly	42300	54100	-0.16129032
crass_B1_assembly	42400	54000	-0.24137931
crass_B1_assembly	42500	53900	0.03225806
crass_B1_assembly	42600	53800	-0.11111111
crass_B1_assembly	42700	53700	-0.12
crass_B1_assembly	42800	53600	-0.33333333
crass_B1_assembly	42900	53500	-0.36363636
crass_B1_assembly	43000	53400	-0.375
crass_B1_assembly	43100	53300	0
crass_B1_assembly	43200	53200	-0.30434783
crass_B1_assembly	43300	53100	-0.27272727
crass_B1_assembly	43400	53000	-0.04761905
crass_B1_assembly	43500	52900	-0.18918919
crass_B1_assembly	43600	52800	-0.17647059
crass_B1_assembly	43700	52700	-0.31428571
crass_B1_assembly	43800	52600	-0.30434783
crass_B1_assembly	43900	52500	-0.45454545
crass_B1_assembly	44000	52400	-0.21428571
crass_B1_assembly	44100	52300	-0.61538462
crass_B1_assembly	44200	52200	-0.26666667
crass_B1_assembly	44300	52100	-0.51724138
crass_B1_assembly	44400	52000	-0.21212121
crass_B1_assembly	44500	51900	-0.46666667
crass_B1_assembly	44600	51800	0.15384615
crass_B1_assembly	44700	51700	-0.30434783
crass_B1_assembly	44800	51600	-0.61538462
crass_B1_assembly	44900	51500	-0.14285714
crass_B1_assembly	45000	51400	-0.4
crass_B1_assembly	45100	51300	-0.28571429
crass_B1_assembly	45200	51200	-0.07692308
crass_B1_assembly	45300	51100	0.15789474
crass_B1_assembly	45400	51000	0.03225806
crass_B1_assembly	45500	50900	0
crass_B1_assembly	45600	50800	-0.04761905
crass_B1_assembly	45700	50700	-0.09090909
crass_B1_assembly	45800	50600	-0.0625
crass_B1_assembly	45900	50500	-0.31428571
crass_B1_assembly	46000	50400	-0.15555556
crass_B1_assembly	46100	50300	-0.37777778
crass_B1_assembly	46200	50200	-0.33333333
crass_B1_assembly	46300	50100	-0.21428571
crass_B1_assembly	46400	50000	-0.23809524
crass_B1_assembly	46500	49900	-0.29032258
crass_B1_assembly	46600	49800	-0.27272727
crass_B1_assembly	46700	49700	0.04
crass_B1_assembly	46800	49600	-0.48148148
crass_B1_assembly	46900	49500	-0.5862069
crass_B1_assembly	47000	49400	-0.33333333
crass_B1_assembly	47100	49300	-0.52941176
crass_B1_assembly	47200	49200	-0.3125
crass_B1_assembly	47300	49100	-0.45454545
crass_B1_assembly	47400	49000	0
crass_B1_assembly	47500	48900	-0.24324324
crass_B1_assembly	47600	48800	0.02857143
crass_B1_assembly	47700	48700	-0.1
crass_B1_assembly	47800	48600	0.05882353
crass_B1_assembly	47900	48500	-0.6
crass_B1_assembly	48000	48400	-0.46666667
crass_B1_assembly	48100	48300	-0.16129032
crass_B1_assembly	48200	48200	-0.41176471
crass_B1_assembly	48300	48100	-0.05263158
crass_B1_assembly	48400	48000	-0.23076923
crass_B1_assembly	48500	47900	-0.33333333
crass_B1_assembly	48600	47800	-0.2972973
crass_B1_assembly	48700	47700	-0.09677419
crass_B1_assembly	48800	47600	-0.39393939
crass_B1_assembly	48900	47500	-0.45454545
crass_B1_assembly	49000	47400	-0.06666667
crass_B1_assembly	49100	47300	0.25
crass_B1_assembly	49200	47200	-0.04761905
crass_B1_assembly	49300	47100	-0.3
crass_B1_assembly	49400	47000	0.03703704
crass_B1_assembly	49500	46900	-0.2173913
crass_B1_assembly	49600	46800	-0.30434783
crass_B1_assembly	49700	46700	0.04
crass_B1_assembly	49800	46600	-0.16666667
crass_B1_assembly	49900	46500	-0.04347826
crass_B1_assembly	50000	46400	-0.46153846
crass_B1_assembly	50100	46300	-0.21428571
crass_B1_assembly	50200	46200	-0.14285714
crass_B1_assembly	50300	46100	-0.08571429
crass_B1_assembly	50400	46000	-0.28205128
crass_B1_assembly	50500	45900	-0.13333333
crass_B1_assembly	50600	45800	-0.33333333
crass_B1_assembly	50700	45700	-0.5
crass_B1_assembly	50800	45600	0
crass_B1_assembly	50900	45500	-0.18918919
crass_B1_assembly	51000	45400	-0.07692308
crass_B1_assembly	51100	45300	-0.23529412
crass_B1_assembly	51200	45200	-0.11764706
crass_B1_assembly	51300	45100	-0.4
crass_B1_assembly	51400	45000	0
crass_B1_assembly	51500	44900	-0.25
crass_B1_assembly	51600	44800	-0.30232558
crass_B1_assembly	51700	44700	-0.17241379
crass_B1_assembly	51800	44600	-0.11764706
crass_B1_assembly	51900	44500	0.07317073
crass_B1_assembly	52000	44400	-0.125
crass_B1_assembly	52100	44300	0
crass_B1_assembly	52200	44200	-0.08571429
crass_B1_assembly	52300	44100	-0.27777778
crass_B1_assembly	52400	44000	-0.07692308
crass_B1_assembly	52500	43900	-0.09677419
crass_B1_assembly	52600	43800	-0.27777778
crass_B1_assembly	52700	43700	-0.38461538
crass_B1_assembly	52800	43600	-0.42857143
crass_B1_assembly	52900	43500	-0.07142857
crass_B1_assembly	53000	43400	-0.04
crass_B1_assembly	53100	43300	-0.23076923
crass_B1_assembly	53200	43200	-0.03448276
crass_B1_assembly	53300	43100	0.07692308
crass_B1_assembly	53400	43000	-0.33333333
crass_B1_assembly	53500	42900	-0.13333333
crass_B1_assembly	53600	42800	-0.2173913
crass_B1_assembly	53700	42700	-0.41935484
crass_B1_assembly	53800	42600	-0.71428571
crass_B1_assembly	53900	42500	-0.2
crass_B1_assembly	54000	42400	-0.08333333
crass_B1_assembly	54100	42300	-0.09677419
crass_B1_assembly	54200	42200	-0.13043478
crass_B1_assembly	54300	42100	-0.16666667
crass_B1_assembly	54400	42000	0.18518519
crass_B1_assembly	54500	41900	-0.2972973
crass_B1_assembly	54600	41800	-0.2
crass_B1_assembly	54700	41700	-0.47058824
crass_B1_assembly	54800	41600	-0.18518519
crass_B1_assembly	54900	41500	-0.18181818
crass_B1_assembly	55000	41400	0
crass_B1_assembly	55100	41300	-0.30434783
crass_B1_assembly	55200	41200	-0.09090909
crass_B1_assembly	55300	41100	-0.11111111
crass_B1_assembly	55400	41000	0.30769231
crass_B1_assembly	55500	40900	-0.2
crass_B1_assembly	55600	40800	-0.25
crass_B1_assembly	55700	40700	-0.375
crass_B1_assembly	55800	40600	-0.25925926
crass_B1_assembly	55900	40500	-0.3125
crass_B1_assembly	56000	40400	-0.15384615
crass_B1_assembly	56100	40300	-0.27272727
crass_B1_assembly	56200	40200	-0.2
crass_B1_assembly	56300	40100	-0.2
crass_B1_assembly	56400	40000	-0.22222222
crass_B1_assembly	56500	39900	-0.08571429
crass_B1_assembly	56600	39800	-0.16129032
crass_B1_assembly	56700	39700	-0.15555556
crass_B1_assembly	56800	39600	-0.45454545
crass_B1_assembly	56900	39500	-0.27777778
crass_B1_assembly	57000	39400	-0.37931034
crass_B1_assembly	57100	39300	-0.36585366
crass_B1_assembly	57200	39200	-0.52941176
crass_B1_assembly	57300	39100	-0.68421053
crass_B1_assembly	57400	39000	0.23809524
crass_B1_assembly	57500	38900	-0.25
crass_B1_assembly	57600	38800	-0.82352941
crass_B1_assembly	57700	38700	-0.22580645
crass_B1_assembly	57800	38600	-0.33333333
crass_B1_assembly	57900	38500	-0.04
crass_B1_assembly	58000	38400	-0.26666667
crass_B1_assembly	58100	38300	-0.0625
crass_B1_assembly	58200	38200	-0.27272727
crass_B1_assembly	58300	38100	-0.1875
crass_B1_assembly	58400	38000	-0.5
crass_B1_assembly	58500	37900	-0.26666667
crass_B1_assembly	58600	37800	-0.05263158
crass_B1_assembly	58700	37700	-0.3125
crass_B1_assembly	58800	37600	-0.29411765
crass_B1_assembly	58900	37500	-0.42857143
crass_B1_assembly	59000	37400	-0.06666667
crass_B1_assembly	59100	37300	-0.2
crass_B1_assembly	59200	37200	-0.03225806
crass_B1_assembly	59300	37100	-0.42857143
crass_B1_assembly	59400	37000	0
crass_B1_assembly	59500	36900	-0.12820513
crass_B1_assembly	59600	36800	-0.27272727
crass_B1_assembly	59700	36700	-0.57894737
crass_B1_assembly	59800	36600	-0.23076923
crass_B1_assembly	59900	36500	-0.17241379
crass_B1_assembly	60000	36400	0
crass_B1_assembly	60100	36300	-0.03225806
crass_B1_assembly	60200	36200	-0.09090909
crass_B1_assembly	60300	36100	-0.1
crass_B1_assembly	60400	36000	0.27777778
crass_B1_assembly	60500	35900	-0.17073171
crass_B1_assembly	60600	35800	-0.31428571
crass_B1_assembly	60700	35700	0.11764706
crass_B1_assembly	60800	35600	-0.06666667
crass_B1_assembly	60900	35500	-0.03030303
crass_B1_assembly	61000	35400	-0.13043478
crass_B1_assembly	61100	35300	-0.21212121
crass_B1_assembly	61200	35200	-0.33333333
crass_B1_assembly	61300	35100	-0.16666667
crass_B1_assembly	61400	35000	-0.27777778
crass_B1_assembly	61500	34900	-0.26315789
crass_B1_assembly	61600	34800	0.02564103
crass_B1_assembly	61700	34700	-0.25714286
crass_B1_assembly	61800	34600	-0.14285714
crass_B1_assembly	61900	34500	-0.22222222
crass_B1_assembly	62000	34400	0.04347826
crass_B1_assembly	62100	34300	-0.13333333
crass_B1_assembly	62200	34200	-0.09090909
crass_B1_assembly	62300	34100	0.03703704
crass_B1_assembly	62400	34000	-0.28571429
crass_B1_assembly	62500	33900	-0.25
crass_B1_assembly	62600	33800	-0.13333333
